Calculated Drug-Tumor Correlation Score (DTCS) for M3814:

DTCS Score: 52.862935213750575
DGIdb Interaction Score normalized DTCS Score: 429.2470339356543
Average TVIR Score: 0.5339690425631372
Median TVIR Score: 0.5228441310415749

Calculated TVIR scores for M3814:

Target_gene	Vulnerability_gene	TVIR_Score	normalized_TVIR_Score
PRKDC	FGD3	0.6477155868958425	5.259450565594241
PRKDC	OR5M1	0.287057440869693	2.3309064198619067
PRKDC	PABPC3	0.4088438372263846	3.3198119582782426
PRKDC	SDS	0.11723226090788894	0.9519259585720581
PRKDC	TNFRSF10D	0.5554576171588071	4.510315851329514
PRKDC	CASP7	0.784633465550169	6.3712237402673715
PRKDC	SRGAP1	0.6184809754664317	5.022065520787424
PRKDC	CXCL16	0.5228441310415749	4.245494344057588
PRKDC	NAPRT	0.3868076979579844	3.140878507418833
PRKDC	RICTOR	0.6725429704715734	5.461048920229175
PRKDC	NLRP12	0.4636403702071397	3.7647598060819742
PRKDC	MYLK	0.5588364918466284	4.5377523137946225
PRKDC	PPP1CA	0.9259585720581754	7.518783605112384
PRKDC	UNC13A	0.1585132951373586	1.2871279565153517
PRKDC	TP53I3	0.9701777581900984	7.877843396503598
PRKDC	OR2T12	0.287057440869693	2.3309064198619067
PRKDC	MGAT4D	0.3215807257235199	2.6112354928749815
PRKDC	OR51F1	0.287057440869693	2.3309064198619067
PRKDC	RBL1	0.989422653151168	8.034111943587483
PRKDC	ATG13	0.5459086234758337	4.432778022623769
PRKDC	SMC1A	0.9930953430292346	8.063934185397384
PRKDC	MECR	0.29734097252827973	2.4144086969296312
PRKDC	PSAT1	0.11899515204936095	0.9662406346408109
PRKDC	APOA1	0.35522256500661087	2.88440722785368
PRKDC	CPSF3	0.6043778463346555	4.907548112237403
PRKDC	FMO2	0.04921404436609373	0.39961804025268105
PRKDC	CAPN1	0.9350668429557808	7.592742764800939
PRKDC	FCGR2A	0.39503452328485383	3.2076803290730127
PRKDC	ROCK1	0.787718525047745	6.3962744233876885
PRKDC	NPY	0.3647715586895843	2.961945056559424
PRKDC	PNLIPRP2	0.4311737916850301	3.5011311884824443
PRKDC	REXO1	0.1045982077273395	0.8493374467459968
PRKDC	TYMP	0.15586895842515058	1.2656559424122227
PRKDC	HLA-DPB1	0.7482003819597474	6.075387101513148
PRKDC	DOCK1	0.5617746437490818	4.561610107242544
PRKDC	ITGA7	0.827971206111356	6.72312619362421
PRKDC	FLT4	0.8335536947260174	6.76845600117526
PRKDC	HLA-DQB1	0.7482003819597474	6.075387101513148
PRKDC	MFNG	0.8976054061995005	7.288555898339943
PRKDC	TSC2	0.9144997796386073	7.42573821066549
PRKDC	COL4A6	0.831937711179668	6.7553342147789035
PRKDC	ALDH9A1	0.3324518877625973	2.6995093286322898
PRKDC	DUSP7	0.8071103276039371	6.553735860143968
PRKDC	CD48	0.7389452034670192	6.000235052152195
PRKDC	DLG4	0.869105332745703	7.057135301895108
PRKDC	OR52D1	0.287057440869693	2.3309064198619067
PRKDC	CERS4	0.4413104157484942	3.5834405758777725
PRKDC	HLA-B	0.9108270897605406	7.395915968855589
PRKDC	GNRH2	0.4887615689731159	3.968743940061701
PRKDC	UBR5	0.9631261936242104	7.8205846922285875
PRKDC	RXFP1	0.22374026737182312	1.8167709710592035
PRKDC	SF3A1	0.13779932422506244	1.1189305127075069
