Calculated Drug-Tumor Correlation Score (DTCS) for M3814:

DTCS Score: 5.991332451887762
DGIdb Interaction Score normalized DTCS Score: 48.64961950932863
Average TVIR Score: 0.4608717270682894
Median TVIR Score: 0.44513001322168355

Calculated TVIR scores for M3814:

Target_gene	Vulnerability_gene	TVIR_Score	normalized_TVIR_Score
PRKDC	IRS4	0.8981930365799912	7.293327457029528
PRKDC	GUCY2F	0.4770089613633025	3.873312766270016
PRKDC	SMPD2	0.4413104157484942	3.5834405758777725
PRKDC	MGST1	0.15058028500073453	1.2227119142059644
PRKDC	ARSA	0.2028793888644043	1.6473806375789628
PRKDC	CD164	0.2009695901278096	1.6318730718378138
PRKDC	COL4A6	0.831937711179668	6.7553342147789035
PRKDC	AGTR2	0.5243132069928015	4.257423240781548
PRKDC	MC1R	0.44513001322168355	3.61445570736007
PRKDC	PSMA8	0.30395181430879975	2.4680887321874536
PRKDC	LMBRD1	0.023652122814749522	0.1920552372557661
PRKDC	EDN1	0.5066842955780814	4.11427648009402
PRKDC	CCNE1	0.9847216101072426	7.995939474070809
